## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4310200A  24   4   u    0       0          7              0      HB    -8    10      1
 4310100A  24   4   u    0       0          7              1      HB    -4    10      1
 4310300A  24   4   u    0       0          7              2      HB   -12    10      1
 43102809  24   4   u    0       0          8              0      HB   -10     9      1
 43101809  24   4   u    0       0          8              1      HB    -6     9      1
 43100809  24   4   u    0       0          8              2      HB    -2     9      1
 43102009  24   4   u    0       0          9              0      HB    -8     9      1
 43101009  24   4   u    0       0          9              1      HB    -4     9      1
 43103009  24   4   u    0       0          9              2      HB   -12     9      1
 43204008  24   5   u    0       0         14              0      HB   -16     8      2
 43203C08  24   5   u    0       0         14              1      HB   -15     8      2
 43103808  24   5   u    0       0         14              2      HB   -14     8      1
 43103C08  24   5   u    0       0         15              0      HB   -15     8      1
 43103408  24   5   u    0       0         15              1      HB   -13     8      1
 43104008  24   5   u    0       0         15              2      HB   -16     8      1
 43204007  24   5   u    0       0         16              0      HB   -16     7      2
 43203C07  24   5   u    0       0         16              1      HB   -15     7      2
 43103807  24   5   u    0       0         16              2      HB   -14     7      1
 43103C07  24   5   u    0       0         17              0      HB   -15     7      1
 43103407  24   5   u    0       0         17              1      HB   -13     7      1
 43104007  24   5   u    0       0         17              2      HB   -16     7      1
 45104408  24   5   u    0       0         18              0      HE   -17     8      1
 45304008  24   5   u    0       0         18              1      HE   -16     8      3
 45106407  24   5   u    0       0         18              2      HE   -25     7      1
 45104808  24   5   u    0       0         19              0      HE   -18     8      1
 45204808  24   5   u    0       0         19              1      HE   -18     8      2
 45206407  24   5   u    0       0         19              2      HE   -25     7      2
 45104407  24   5   u    0       0         20              0      HE   -17     7      1
 45304007  24   5   u    0       0         20              1      HE   -16     7      3
 45106807  24   5   u    0       0         20              2      HE   -26     7      1
 45104807  24   5   u    0       0         21              0      HE   -18     7      1
 45204807  24   5   u    0       0         21              1      HE   -18     7      2
 45206807  24   5   u    0       0         21              2      HE   -26     7      2
 4320400A  24   5   u    0       0          2              0      HB   -16    10      2
 43203C0A  24   5   u    0       0          2              1      HB   -15    10      2
 4310380A  24   5   u    0       0          2              2      HB   -14    10      1
 43103C0A  24   5   u    0       0          3              0      HB   -15    10      1
 4310340A  24   5   u    0       0          3              1      HB   -13    10      1
 4310400A  24   5   u    0       0          3              2      HB   -16    10      1
 43204009  24   5   u    0       0          4              0      HB   -16     9      2
 43203C09  24   5   u    0       0          4              1      HB   -15     9      2
 43103809  24   5   u    0       0          4              2      HB   -14     9      1
 43103C09  24   5   u    0       0          5              0      HB   -15     9      1
 43103409  24   5   u    0       0          5              1      HB   -13     9      1
 43104009  24   5   u    0       0          5              2      HB   -16     9      1
 4510440A  24   5   u    0       0          6              0      HE   -17    10      1
 4530400A  24   5   u    0       0          6              1      HE   -16    10      3
 45106809  24   5   u    0       0          6              2      HE   -26     9      1
 4510480A  24   5   u    0       0          7              0      HE   -18    10      1
 4520480A  24   5   u    0       0          7              1      HE   -18    10      2
 45206809  24   5   u    0       0          7              2      HE   -26     9      2
 45104409  24   5   u    0       0          8              0      HE   -17     9      1
 45304009  24   5   u    0       0          8              1      HE   -16     9      3
 45106409  24   5   u    0       0          8              2      HE   -25     9      1
 45104809  24   5   u    0       0          9              0      HE   -18     9      1
 45204809  24   5   u    0       0          9              1      HE   -18     9      2
 45206409  24   5   u    0       0          9              2      HE   -25     9      2
 45106C07  24   6   u    0       0         14              0      HE   -27     7      1
 45206C07  24   6   u    0       0         14              1      HE   -27     7      2
 45207407  24   6   u    0       0         14              2      HE   -29     7      2
 45306C07  24   6   u    0       0         15              0      HE   -27     7      3
 45205C07  24   6   u    0       0         15              1      HE   -23     7      2
 45105C07  24   6   u    0       0         15              2      HE   -23     7      1
 45107007  24   6   u    0       0         16              0      HE   -28     7      1
 45207007  24   6   u    0       0         16              1      HE   -28     7      2
 45107407  24   6   u    0       0         16              2      HE   -29     7      1
 45307007  24   6   u    0       0         17              0      HE   -28     7      3
 45206007  24   6   u    0       0         17              1      HE   -24     7      2
 45106007  24   6   u    0       0         17              2      HE   -24     7      1
 45204C08  24   6   u    0       0         18              0      HE   -19     8      2
 45105008  24   6   u    0       0         18              1      HE   -20     8      1
 45205407  24   6   u    0       0         18              2      HE   -21     7      2
 45104C08  24   6   u    0       0         19              0      HE   -19     8      1
 45205008  24   6   u    0       0         19              1      HE   -20     8      2
 45105407  24   6   u    0       0         19              2      HE   -21     7      1
 45204C07  24   6   u    0       0         20              0      HE   -19     7      2
 45105007  24   6   u    0       0         20              1      HE   -20     7      1
 45205807  24   6   u    0       0         20              2      HE   -22     7      2
 45104C07  24   6   u    0       0         21              0      HE   -19     7      1
 45205007  24   6   u    0       0         21              1      HE   -20     7      2
 45105807  24   6   u    0       0         21              2      HE   -22     7      1
 45107009  24   6   u    0       0          2              0      HE   -28     9      1
 45207009  24   6   u    0       0          2              1      HE   -28     9      2
 45107409  24   6   u    0       0          2              2      HE   -29     9      1
 45307009  24   6   u    0       0          3              0      HE   -28     9      3
 45206009  24   6   u    0       0          3              1      HE   -24     9      2
 45106009  24   6   u    0       0          3              2      HE   -24     9      1
 45106C09  24   6   u    0       0          4              0      HE   -27     9      1
 45206C09  24   6   u    0       0          4              1      HE   -27     9      2
 45207409  24   6   u    0       0          4              2      HE   -29     9      2
 45306C09  24   6   u    0       0          5              0      HE   -27     9      3
 45205C09  24   6   u    0       0          5              1      HE   -23     9      2
 45105C09  24   6   u    0       0          5              2      HE   -23     9      1
 45204C0A  24   6   u    0       0          6              0      HE   -19    10      2
 4510500A  24   6   u    0       0          6              1      HE   -20    10      1
 45205809  24   6   u    0       0          6              2      HE   -22     9      2
 45104C0A  24   6   u    0       0          7              0      HE   -19    10      1
 4520500A  24   6   u    0       0          7              1      HE   -20    10      2
 45105809  24   6   u    0       0          7              2      HE   -22     9      1
 45204C09  24   6   u    0       0          8              0      HE   -19     9      2
 45105009  24   6   u    0       0          8              1      HE   -20     9      1
 45205409  24   6   u    0       0          8              2      HE   -21     9      2
 45104C09  24   6   u    0       0          9              0      HE   -19     9      1
 45205009  24   6   u    0       0          9              1      HE   -20     9      2
 45105409  24   6   u    0       0          9              2      HE   -21     9      1
 43182C03  24   7   u    0       0         14              0      HB    11     3      1
 43181C03  24   7   u    0       0         14              1      HB     7     3      1
 43180C03  24   7   u    0       0         14              2      HB     3     3      1
 43181403  24   7   u    0       0         15              0      HB     5     3      1
 43180403  24   7   u    0       0         15              1      HB     1     3      1
 43182403  24   7   u    0       0         15              2      HB     9     3      1
 43182C04  24   7   u    0       0         16              0      HB    11     4      1
 43181C04  24   7   u    0       0         16              1      HB     7     4      1
 43180C04  24   7   u    0       0         16              2      HB     3     4      1
 43181404  24   7   u    0       0         17              0      HB     5     4      1
 43180404  24   7   u    0       0         17              1      HB     1     4      1
 43182404  24   7   u    0       0         17              2      HB     9     4      1
 43182803  24   7   u    0       0         18              0      HB    10     3      1
 43181803  24   7   u    0       0         18              1      HB     6     3      1
 43180803  24   7   u    0       0         18              2      HB     2     3      1
 43182003  24   7   u    0       0         19              0      HB     8     3      1
 43181003  24   7   u    0       0         19              1      HB     4     3      1
 43183003  24   7   u    0       0         19              2      HB    12     3      1
 43182804  24   7   u    0       0         20              0      HB    10     4      1
 43181804  24   7   u    0       0         20              1      HB     6     4      1
 43180804  24   7   u    0       0         20              2      HB     2     4      1
 43182004  24   7   u    0       0         21              0      HB     8     4      1
 43181004  24   7   u    0       0         21              1      HB     4     4      1
 43183004  24   7   u    0       0         21              2      HB    12     4      1
 43182C05  24   7   u    0       0          2              0      HB    11     5      1
 43181C05  24   7   u    0       0          2              1      HB     7     5      1
 43180C05  24   7   u    0       0          2              2      HB     3     5      1
 43181405  24   7   u    0       0          3              0      HB     5     5      1
 43180405  24   7   u    0       0          3              1      HB     1     5      1
 43182405  24   7   u    0       0          3              2      HB     9     5      1
 43182C06  24   7   u    0       0          4              0      HB    11     6      1
 43181C06  24   7   u    0       0          4              1      HB     7     6      1
 43180C06  24   7   u    0       0          4              2      HB     3     6      1
 43181406  24   7   u    0       0          5              0      HB     5     6      1
 43180406  24   7   u    0       0          5              1      HB     1     6      1
 43182406  24   7   u    0       0          5              2      HB     9     6      1
 43182805  24   7   u    0       0          6              0      HB    10     5      1
 43181805  24   7   u    0       0          6              1      HB     6     5      1
 43180805  24   7   u    0       0          6              2      HB     2     5      1
 43182005  24   7   u    0       0          7              0      HB     8     5      1
 43181005  24   7   u    0       0          7              1      HB     4     5      1
 43183005  24   7   u    0       0          7              2      HB    12     5      1
 43182806  24   7   u    0       0          8              0      HB    10     6      1
 43181806  24   7   u    0       0          8              1      HB     6     6      1
 43180806  24   7   u    0       0          8              2      HB     2     6      1
 43182006  24   7   u    0       0          9              0      HB     8     6      1
 43181006  24   7   u    0       0          9              1      HB     4     6      1
 43183006  24   7   u    0       0          9              2      HB    12     6      1
 43284003  24   8   u    0       0         14              0      HB    16     3      2
 43283C03  24   8   u    0       0         14              1      HB    15     3      2
 43183803  24   8   u    0       0         14              2      HB    14     3      1
 43183C03  24   8   u    0       0         15              0      HB    15     3      1
 43183403  24   8   u    0       0         15              1      HB    13     3      1
 43184003  24   8   u    0       0         15              2      HB    16     3      1
 43284004  24   8   u    0       0         16              0      HB    16     4      2
 43283C04  24   8   u    0       0         16              1      HB    15     4      2
 43183804  24   8   u    0       0         16              2      HB    14     4      1
 43183C04  24   8   u    0       0         17              0      HB    15     4      1
 43183404  24   8   u    0       0         17              1      HB    13     4      1
 43184004  24   8   u    0       0         17              2      HB    16     4      1
 45184403  24   8   u    0       0         18              0      HE    17     3      1
 45384003  24   8   u    0       0         18              1      HE    16     3      3
 45186803  24   8   u    0       0         18              2      HE    26     3      1
 45184803  24   8   u    0       0         19              0      HE    18     3      1
 45284803  24   8   u    0       0         19              1      HE    18     3      2
 45286803  24   8   u    0       0         19              2      HE    26     3      2
 45184404  24   8   u    0       0         20              0      HE    17     4      1
 45384004  24   8   u    0       0         20              1      HE    16     4      3
 45186403  24   8   u    0       0         20              2      HE    25     3      1
 45184804  24   8   u    0       0         21              0      HE    18     4      1
 45284804  24   8   u    0       0         21              1      HE    18     4      2
 45286403  24   8   u    0       0         21              2      HE    25     3      2
 43284005  24   8   u    0       0          2              0      HB    16     5      2
 43283C05  24   8   u    0       0          2              1      HB    15     5      2
 43183805  24   8   u    0       0          2              2      HB    14     5      1
 43183C05  24   8   u    0       0          3              0      HB    15     5      1
 43183405  24   8   u    0       0          3              1      HB    13     5      1
 43184005  24   8   u    0       0          3              2      HB    16     5      1
 43284006  24   8   u    0       0          4              0      HB    16     6      2
 43283C06  24   8   u    0       0          4              1      HB    15     6      2
 43183806  24   8   u    0       0          4              2      HB    14     6      1
 43183C06  24   8   u    0       0          5              0      HB    15     6      1
 43183406  24   8   u    0       0          5              1      HB    13     6      1
 43184006  24   8   u    0       0          5              2      HB    16     6      1
 45184405  24   8   u    0       0          6              0      HE    17     5      1
 45384005  24   8   u    0       0          6              1      HE    16     5      3
 45186405  24   8   u    0       0          6              2      HE    25     5      1
 45184805  24   8   u    0       0          7              0      HE    18     5      1
 45284805  24   8   u    0       0          7              1      HE    18     5      2
 45286405  24   8   u    0       0          7              2      HE    25     5      2
 45184406  24   8   u    0       0          8              0      HE    17     6      1
 45384006  24   8   u    0       0          8              1      HE    16     6      3
 45186805  24   8   u    0       0          8              2      HE    26     5      1
 45184806  24   8   u    0       0          9              0      HE    18     6      1
 45284806  24   8   u    0       0          9              1      HE    18     6      2
 45286805  24   8   u    0       0          9              2      HE    26     5      2
 45187003  24   9   u    0       0         14              0      HE    28     3      1
 45287003  24   9   u    0       0         14              1      HE    28     3      2
 45187403  24   9   u    0       0         14              2      HE    29     3      1
 45387003  24   9   u    0       0         15              0      HE    28     3      3
 45286003  24   9   u    0       0         15              1      HE    24     3      2
 45186003  24   9   u    0       0         15              2      HE    24     3      1
 45186C03  24   9   u    0       0         16              0      HE    27     3      1
 45286C03  24   9   u    0       0         16              1      HE    27     3      2
 45287403  24   9   u    0       0         16              2      HE    29     3      2
 45386C03  24   9   u    0       0         17              0      HE    27     3      3
 45285C03  24   9   u    0       0         17              1      HE    23     3      2
 45185C03  24   9   u    0       0         17              2      HE    23     3      1
 45284C03  24   9   u    0       0         18              0      HE    19     3      2
 45185003  24   9   u    0       0         18              1      HE    20     3      1
 45285803  24   9   u    0       0         18              2      HE    22     3      2
 45184C03  24   9   u    0       0         19              0      HE    19     3      1
 45285003  24   9   u    0       0         19              1      HE    20     3      2
 45185803  24   9   u    0       0         19              2      HE    22     3      1
 45284C04  24   9   u    0       0         20              0      HE    19     4      2
 45185004  24   9   u    0       0         20              1      HE    20     4      1
 45285403  24   9   u    0       0         20              2      HE    21     3      2
 45184C04  24   9   u    0       0         21              0      HE    19     4      1
 45285004  24   9   u    0       0         21              1      HE    20     4      2
 45185403  24   9   u    0       0         21              2      HE    21     3      1
 45186C05  24   9   u    0       0          2              0      HE    27     5      1
 45286C05  24   9   u    0       0          2              1      HE    27     5      2
 45287405  24   9   u    0       0          2              2      HE    29     5      2
 45386C05  24   9   u    0       0          3              0      HE    27     5      3
 45285C05  24   9   u    0       0          3              1      HE    23     5      2
 45185C05  24   9   u    0       0          3              2      HE    23     5      1
 45187005  24   9   u    0       0          4              0      HE    28     5      1
 45287005  24   9   u    0       0          4              1      HE    28     5      2
 45187405  24   9   u    0       0          4              2      HE    29     5      1
 45387005  24   9   u    0       0          5              0      HE    28     5      3
 45286005  24   9   u    0       0          5              1      HE    24     5      2
 45186005  24   9   u    0       0          5              2      HE    24     5      1
 45284C05  24   9   u    0       0          6              0      HE    19     5      2
 45185005  24   9   u    0       0          6              1      HE    20     5      1
 45285405  24   9   u    0       0          6              2      HE    21     5      2
 45184C05  24   9   u    0       0          7              0      HE    19     5      1
 45285005  24   9   u    0       0          7              1      HE    20     5      2
 45185405  24   9   u    0       0          7              2      HE    21     5      1
 45284C06  24   9   u    0       0          8              0      HE    19     6      2
 45185006  24   9   u    0       0          8              1      HE    20     6      1
 45285805  24   9   u    0       0          8              2      HE    22     5      2
 45184C06  24   9   u    0       0          9              0      HE    19     6      1
 45285006  24   9   u    0       0          9              1      HE    20     6      2
 45185805  24   9   u    0       0          9              2      HE    22     5      1
 43182C07  24  10   u    0       0         14              0      HB    11     7      1
 43181C07  24  10   u    0       0         14              1      HB     7     7      1
 43180C07  24  10   u    0       0         14              2      HB     3     7      1
 43181407  24  10   u    0       0         15              0      HB     5     7      1
 43180407  24  10   u    0       0         15              1      HB     1     7      1
 43182407  24  10   u    0       0         15              2      HB     9     7      1
 43182C08  24  10   u    0       0         16              0      HB    11     8      1
 43181C08  24  10   u    0       0         16              1      HB     7     8      1
 43180C08  24  10   u    0       0         16              2      HB     3     8      1
 43181408  24  10   u    0       0         17              0      HB     5     8      1
 43180408  24  10   u    0       0         17              1      HB     1     8      1
 43182408  24  10   u    0       0         17              2      HB     9     8      1
 43182807  24  10   u    0       0         18              0      HB    10     7      1
 43181807  24  10   u    0       0         18              1      HB     6     7      1
 43180807  24  10   u    0       0         18              2      HB     2     7      1
 43182007  24  10   u    0       0         19              0      HB     8     7      1
 43181007  24  10   u    0       0         19              1      HB     4     7      1
 43183007  24  10   u    0       0         19              2      HB    12     7      1
 43182808  24  10   u    0       0         20              0      HB    10     8      1
 43181808  24  10   u    0       0         20              1      HB     6     8      1
 43180808  24  10   u    0       0         20              2      HB     2     8      1
 43182008  24  10   u    0       0         21              0      HB     8     8      1
 43181008  24  10   u    0       0         21              1      HB     4     8      1
 43183008  24  10   u    0       0         21              2      HB    12     8      1
 43182C09  24  10   u    0       0          2              0      HB    11     9      1
 43181C09  24  10   u    0       0          2              1      HB     7     9      1
 43180C09  24  10   u    0       0          2              2      HB     3     9      1
 43181409  24  10   u    0       0          3              0      HB     5     9      1
 43180409  24  10   u    0       0          3              1      HB     1     9      1
 43182409  24  10   u    0       0          3              2      HB     9     9      1
 43182C0A  24  10   u    0       0          4              0      HB    11    10      1
 43181C0A  24  10   u    0       0          4              1      HB     7    10      1
 43180C0A  24  10   u    0       0          4              2      HB     3    10      1
 4318140A  24  10   u    0       0          5              0      HB     5    10      1
 4318040A  24  10   u    0       0          5              1      HB     1    10      1
 4318240A  24  10   u    0       0          5              2      HB     9    10      1
 43182809  24  10   u    0       0          6              0      HB    10     9      1
 43181809  24  10   u    0       0          6              1      HB     6     9      1
 43180809  24  10   u    0       0          6              2      HB     2     9      1
 43182009  24  10   u    0       0          7              0      HB     8     9      1
 43181009  24  10   u    0       0          7              1      HB     4     9      1
 43183009  24  10   u    0       0          7              2      HB    12     9      1
 4318280A  24  10   u    0       0          8              0      HB    10    10      1
 4318180A  24  10   u    0       0          8              1      HB     6    10      1
 4318080A  24  10   u    0       0          8              2      HB     2    10      1
 4318200A  24  10   u    0       0          9              0      HB     8    10      1
 4318100A  24  10   u    0       0          9              1      HB     4    10      1
 4318300A  24  10   u    0       0          9              2      HB    12    10      1
 43284007  24  11   u    0       0         14              0      HB    16     7      2
 43283C07  24  11   u    0       0         14              1      HB    15     7      2
 43183807  24  11   u    0       0         14              2      HB    14     7      1
 43183C07  24  11   u    0       0         15              0      HB    15     7      1
 43183407  24  11   u    0       0         15              1      HB    13     7      1
 43184007  24  11   u    0       0         15              2      HB    16     7      1
 43284008  24  11   u    0       0         16              0      HB    16     8      2
 43283C08  24  11   u    0       0         16              1      HB    15     8      2
 43183808  24  11   u    0       0         16              2      HB    14     8      1
 43183C08  24  11   u    0       0         17              0      HB    15     8      1
 43183408  24  11   u    0       0         17              1      HB    13     8      1
 43184008  24  11   u    0       0         17              2      HB    16     8      1
 45184407  24  11   u    0       0         18              0      HE    17     7      1
 45384007  24  11   u    0       0         18              1      HE    16     7      3
 45186807  24  11   u    0       0         18              2      HE    26     7      1
 45184807  24  11   u    0       0         19              0      HE    18     7      1
 45284807  24  11   u    0       0         19              1      HE    18     7      2
 45286807  24  11   u    0       0         19              2      HE    26     7      2
 45184408  24  11   u    0       0         20              0      HE    17     8      1
 45384008  24  11   u    0       0         20              1      HE    16     8      3
 45186407  24  11   u    0       0         20              2      HE    25     7      1
 45184808  24  11   u    0       0         21              0      HE    18     8      1
 45284808  24  11   u    0       0         21              1      HE    18     8      2
 45286407  24  11   u    0       0         21              2      HE    25     7      2
 43284009  24  11   u    0       0          2              0      HB    16     9      2
 43283C09  24  11   u    0       0          2              1      HB    15     9      2
 43183809  24  11   u    0       0          2              2      HB    14     9      1
 43183C09  24  11   u    0       0          3              0      HB    15     9      1
 43183409  24  11   u    0       0          3              1      HB    13     9      1
 43184009  24  11   u    0       0          3              2      HB    16     9      1
 4328400A  24  11   u    0       0          4              0      HB    16    10      2
 43283C0A  24  11   u    0       0          4              1      HB    15    10      2
 4318380A  24  11   u    0       0          4              2      HB    14    10      1
 43183C0A  24  11   u    0       0          5              0      HB    15    10      1
 4318340A  24  11   u    0       0          5              1      HB    13    10      1
 4318400A  24  11   u    0       0          5              2      HB    16    10      1
 45184409  24  11   u    0       0          6              0      HE    17     9      1
 45384009  24  11   u    0       0          6              1      HE    16     9      3
 45186409  24  11   u    0       0          6              2      HE    25     9      1
 45184809  24  11   u    0       0          7              0      HE    18     9      1
 45284809  24  11   u    0       0          7              1      HE    18     9      2
 45286409  24  11   u    0       0          7              2      HE    25     9      2
 4518440A  24  11   u    0       0          8              0      HE    17    10      1
 4538400A  24  11   u    0       0          8              1      HE    16    10      3
 45186809  24  11   u    0       0          8              2      HE    26     9      1
 4518480A  24  11   u    0       0          9              0      HE    18    10      1
 4528480A  24  11   u    0       0          9              1      HE    18    10      2
 45286809  24  11   u    0       0          9              2      HE    26     9      2
 45187007  24  12   u    0       0         14              0      HE    28     7      1
 45287007  24  12   u    0       0         14              1      HE    28     7      2
 45187407  24  12   u    0       0         14              2      HE    29     7      1
 45387007  24  12   u    0       0         15              0      HE    28     7      3
 45286007  24  12   u    0       0         15              1      HE    24     7      2
 45186007  24  12   u    0       0         15              2      HE    24     7      1
 45186C07  24  12   u    0       0         16              0      HE    27     7      1
 45286C07  24  12   u    0       0         16              1      HE    27     7      2
 45287407  24  12   u    0       0         16              2      HE    29     7      2
 45386C07  24  12   u    0       0         17              0      HE    27     7      3
 45285C07  24  12   u    0       0         17              1      HE    23     7      2
 45185C07  24  12   u    0       0         17              2      HE    23     7      1
 45284C07  24  12   u    0       0         18              0      HE    19     7      2
 45185007  24  12   u    0       0         18              1      HE    20     7      1
 45285807  24  12   u    0       0         18              2      HE    22     7      2
 45184C07  24  12   u    0       0         19              0      HE    19     7      1
 45285007  24  12   u    0       0         19              1      HE    20     7      2
 45185807  24  12   u    0       0         19              2      HE    22     7      1
 45284C08  24  12   u    0       0         20              0      HE    19     8      2
 45185008  24  12   u    0       0         20              1      HE    20     8      1
 45285407  24  12   u    0       0         20              2      HE    21     7      2
 45184C08  24  12   u    0       0         21              0      HE    19     8      1
 45285008  24  12   u    0       0         21              1      HE    20     8      2
 45185407  24  12   u    0       0         21              2      HE    21     7      1
 45186C09  24  12   u    0       0          2              0      HE    27     9      1
 45286C09  24  12   u    0       0          2              1      HE    27     9      2
 45287409  24  12   u    0       0          2              2      HE    29     9      2
 45386C09  24  12   u    0       0          3              0      HE    27     9      3
 45285C09  24  12   u    0       0          3              1      HE    23     9      2
 45185C09  24  12   u    0       0          3              2      HE    23     9      1
 45187009  24  12   u    0       0          4              0      HE    28     9      1
 45287009  24  12   u    0       0          4              1      HE    28     9      2
 45187409  24  12   u    0       0          4              2      HE    29     9      1
 45387009  24  12   u    0       0          5              0      HE    28     9      3
 45286009  24  12   u    0       0          5              1      HE    24     9      2
 45186009  24  12   u    0       0          5              2      HE    24     9      1
 45284C09  24  12   u    0       0          6              0      HE    19     9      2
 45185009  24  12   u    0       0          6              1      HE    20     9      1
 45285409  24  12   u    0       0          6              2      HE    21     9      2
 45184C09  24  12   u    0       0          7              0      HE    19     9      1
 45285009  24  12   u    0       0          7              1      HE    20     9      2
 45185409  24  12   u    0       0          7              2      HE    21     9      1
 45284C0A  24  12   u    0       0          8              0      HE    19    10      2
 4518500A  24  12   u    0       0          8              1      HE    20    10      1
 45285809  24  12   u    0       0          8              2      HE    22     9      2
 45184C0A  24  12   u    0       0          9              0      HE    19    10      1
 4528500A  24  12   u    0       0          9              1      HE    20    10      2
 45185809  24  12   u    0       0          9              2      HE    22     9      1
 43102C1C  25   1   u    0       0         14              0      HB   -11    28      1
 43101C1C  25   1   u    0       0         14              1      HB    -7    28      1
 43100C1C  25   1   u    0       0         14              2      HB    -3    28      1
 4310141C  25   1   u    0       0         15              0      HB    -5    28      1
 4310041C  25   1   u    0       0         15              1      HB    -1    28      1
 4310241C  25   1   u    0       0         15              2      HB    -9    28      1
 43102C1B  25   1   u    0       0         16              0      HB   -11    27      1
 43101C1B  25   1   u    0       0         16              1      HB    -7    27      1
 43100C1B  25   1   u    0       0         16              2      HB    -3    27      1
 4310141B  25   1   u    0       0         17              0      HB    -5    27      1
 4310041B  25   1   u    0       0         17              1      HB    -1    27      1
 4310241B  25   1   u    0       0         17              2      HB    -9    27      1
 4310281C  25   1   u    0       0         18              0      HB   -10    28      1
 4310181C  25   1   u    0       0         18              1      HB    -6    28      1
 4310081C  25   1   u    0       0         18              2      HB    -2    28      1
 4310201C  25   1   u    0       0         19              0      HB    -8    28      1
 4310101C  25   1   u    0       0         19              1      HB    -4    28      1
 4310301C  25   1   u    0       0         19              2      HB   -12    28      1
 4310281B  25   1   u    0       0         20              0      HB   -10    27      1
 4310181B  25   1   u    0       0         20              1      HB    -6    27      1
 4310081B  25   1   u    0       0         20              2      HB    -2    27      1
 4310201B  25   1   u    0       0         21              0      HB    -8    27      1
 4310101B  25   1   u    0       0         21              1      HB    -4    27      1
 4310301B  25   1   u    0       0         21              2      HB   -12    27      1
 43102C1E  25   1   u    0       0          2              0      HB   -11    30      1
 43101C1E  25   1   u    0       0          2              1      HB    -7    30      1
 43100C1E  25   1   u    0       0          2              2      HB    -3    30      1
 4310141E  25   1   u    0       0          3              0      HB    -5    30      1
 4310041E  25   1   u    0       0          3              1      HB    -1    30      1
 4310241E  25   1   u    0       0          3              2      HB    -9    30      1
 43102C1D  25   1   u    0       0          4              0      HB   -11    29      1
 43101C1D  25   1   u    0       0          4              1      HB    -7    29      1
 43100C1D  25   1   u    0       0          4              2      HB    -3    29      1
 4310141D  25   1   u    0       0          5              0      HB    -5    29      1
 4310041D  25   1   u    0       0          5              1      HB    -1    29      1
 4310241D  25   1   u    0       0          5              2      HB    -9    29      1
 4310281E  25   1   u    0       0          6              0      HB   -10    30      1
 4310181E  25   1   u    0       0          6              1      HB    -6    30      1
 4310081E  25   1   u    0       0          6              2      HB    -2    30      1
 4310201E  25   1   u    0       0          7              0      HB    -8    30      1
 4310101E  25   1   u    0       0          7              1      HB    -4    30      1
 4310301E  25   1   u    0       0          7              2      HB   -12    30      1
 4310281D  25   1   u    0       0          8              0      HB   -10    29      1
 4310181D  25   1   u    0       0          8              1      HB    -6    29      1
 4310081D  25   1   u    0       0          8              2      HB    -2    29      1
 4310201D  25   1   u    0       0          9              0      HB    -8    29      1
 4310101D  25   1   u    0       0          9              1      HB    -4    29      1
 4310301D  25   1   u    0       0          9              2      HB   -12    29      1
 4320401C  25   2   u    0       0         14              0      HB   -16    28      2
 43203C1C  25   2   u    0       0         14              1      HB   -15    28      2
 4310381C  25   2   u    0       0         14              2      HB   -14    28      1
 43103C1C  25   2   u    0       0         15              0      HB   -15    28      1
 4310341C  25   2   u    0       0         15              1      HB   -13    28      1
 4310401C  25   2   u    0       0         15              2      HB   -16    28      1
 4320401B  25   2   u    0       0         16              0      HB   -16    27      2
 43203C1B  25   2   u    0       0         16              1      HB   -15    27      2
 4310381B  25   2   u    0       0         16              2      HB   -14    27      1
 43103C1B  25   2   u    0       0         17              0      HB   -15    27      1
 4310341B  25   2   u    0       0         17              1      HB   -13    27      1
 4310401B  25   2   u    0       0         17              2      HB   -16    27      1
 4510441C  25   2   u    0       0         18              0      HE   -17    28      1
 4530401C  25   2   u    0       0         18              1      HE   -16    28      3
 4510641B  25   2   u    0       0         18              2      HE   -25    27      1
 4510481C  25   2   u    0       0         19              0      HE   -18    28      1
 4520481C  25   2   u    0       0         19              1      HE   -18    28      2
 4520641B  25   2   u    0       0         19              2      HE   -25    27      2
 4510441B  25   2   u    0       0         20              0      HE   -17    27      1
 4530401B  25   2   u    0       0         20              1      HE   -16    27      3
 4510681B  25   2   u    0       0         20              2      HE   -26    27      1
 4510481B  25   2   u    0       0         21              0      HE   -18    27      1
 4520481B  25   2   u    0       0         21              1      HE   -18    27      2
 4520681B  25   2   u    0       0         21              2      HE   -26    27      2
 4320401E  25   2   u    0       0          2              0      HB   -16    30      2
 43203C1E  25   2   u    0       0          2              1      HB   -15    30      2
 4310381E  25   2   u    0       0          2              2      HB   -14    30      1
 43103C1E  25   2   u    0       0          3              0      HB   -15    30      1
 4310341E  25   2   u    0       0          3              1      HB   -13    30      1
 4310401E  25   2   u    0       0          3              2      HB   -16    30      1
 4320401D  25   2   u    0       0          4              0      HB   -16    29      2
 43203C1D  25   2   u    0       0          4              1      HB   -15    29      2
 4310381D  25   2   u    0       0          4              2      HB   -14    29      1
 43103C1D  25   2   u    0       0          5              0      HB   -15    29      1
 4310341D  25   2   u    0       0          5              1      HB   -13    29      1
 4310401D  25   2   u    0       0          5              2      HB   -16    29      1
 4510441E  25   2   u    0       0          6              0      HE   -17    30      1
 4530401E  25   2   u    0       0          6              1      HE   -16    30      3
 4510681D  25   2   u    0       0          6              2      HE   -26    29      1
 4510481E  25   2   u    0       0          7              0      HE   -18    30      1
