## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4310400B   0   3   t    2       2          4              2      HB   -16    11      1
 4510440C   0   3   t    2       2          5              0      HE   -17    12      1
 4530400C   0   3   t    2       2          5              1      HE   -16    12      3
 4510640B   0   3   t    2       2          5              2      HE   -25    11      1
 4510480C   0   3   t    2       2          6              0      HE   -18    12      1
 4520480C   0   3   t    2       2          6              1      HE   -18    12      2
 4520640B   0   3   t    2       2          6              2      HE   -25    11      2
 4510440B   0   3   t    2       2          7              0      HE   -17    11      1
 4530400B   0   3   t    2       2          7              1      HE   -16    11      3
 4510680B   0   3   t    2       2          7              2      HE   -26    11      1
 4510480B   0   3   t    2       2          8              0      HE   -18    11      1
 4520480B   0   3   t    2       2          8              1      HE   -18    11      2
 4520680B   0   3   t    2       2          8              2      HE   -26    11      2
 4320400E   0   3   b    2       3          1              0      HB   -16    14      2
 43203C0E   0   3   b    2       3          1              1      HB   -15    14      2
 4310380E   0   3   b    2       3          1              2      HB   -14    14      1
 43103C0E   0   3   b    2       3          2              0      HB   -15    14      1
 4310340E   0   3   b    2       3          2              1      HB   -13    14      1
 4310400E   0   3   b    2       3          2              2      HB   -16    14      1
 4320400D   0   3   b    2       3          3              0      HB   -16    13      2
 43203C0D   0   3   b    2       3          3              1      HB   -15    13      2
 4310380D   0   3   b    2       3          3              2      HB   -14    13      1
 43103C0D   0   3   b    2       3          4              0      HB   -15    13      1
 4310340D   0   3   b    2       3          4              1      HB   -13    13      1
 4310400D   0   3   b    2       3          4              2      HB   -16    13      1
 4510440E   0   3   b    2       3          5              0      HE   -17    14      1
 4530400E   0   3   b    2       3          5              1      HE   -16    14      3
 4510680D   0   3   b    2       3          5              2      HE   -26    13      1
 4510480E   0   3   b    2       3          6              0      HE   -18    14      1
 4520480E   0   3   b    2       3          6              1      HE   -18    14      2
 4520680D   0   3   b    2       3          6              2      HE   -26    13      2
 4510440D   0   3   b    2       3          7              0      HE   -17    13      1
 4530400D   0   3   b    2       3          7              1      HE   -16    13      3
 4510640D   0   3   b    2       3          7              2      HE   -25    13      1
 4510480D   0   3   b    2       3          8              0      HE   -18    13      1
 4520480D   0   3   b    2       3          8              1      HE   -18    13      2
 4520640D   0   3   b    2       3          8              2      HE   -25    13      2
 45106C0B   0   4   t    2       4          1              0      HE   -27    11      1
 45206C0B   0   4   t    2       4          1              1      HE   -27    11      2
 4520740B   0   4   t    2       4          1              2      HE   -29    11      2
 45306C0B   0   4   t    2       4          2              0      HE   -27    11      3
 45205C0B   0   4   t    2       4          2              1      HE   -23    11      2
 45105C0B   0   4   t    2       4          2              2      HE   -23    11      1
 4510700B   0   4   t    2       4          3              0      HE   -28    11      1
 4520700B   0   4   t    2       4          3              1      HE   -28    11      2
 4510740B   0   4   t    2       4          3              2      HE   -29    11      1
 4530700B   0   4   t    2       4          4              0      HE   -28    11      3
 4520600B   0   4   t    2       4          4              1      HE   -24    11      2
 4510600B   0   4   t    2       4          4              2      HE   -24    11      1
 45204C0C   0   4   t    2       4          5              0      HE   -19    12      2
 4510500C   0   4   t    2       4          5              1      HE   -20    12      1
 4520540B   0   4   t    2       4          5              2      HE   -21    11      2
 45104C0C   0   4   t    2       4          6              0      HE   -19    12      1
 4520500C   0   4   t    2       4          6              1      HE   -20    12      2
 4510540B   0   4   t    2       4          6              2      HE   -21    11      1
 45204C0B   0   4   t    2       4          7              0      HE   -19    11      2
 4510500B   0   4   t    2       4          7              1      HE   -20    11      1
 4520580B   0   4   t    2       4          7              2      HE   -22    11      2
 45104C0B   0   4   t    2       4          8              0      HE   -19    11      1
 4520500B   0   4   t    2       4          8              1      HE   -20    11      2
 4510580B   0   4   t    2       4          8              2      HE   -22    11      1
 4510700D   0   4   b    2       5          1              0      HE   -28    13      1
 4520700D   0   4   b    2       5          1              1      HE   -28    13      2
 4510740D   0   4   b    2       5          1              2      HE   -29    13      1
 4530700D   0   4   b    2       5          2              0      HE   -28    13      3
 4520600D   0   4   b    2       5          2              1      HE   -24    13      2
 4510600D   0   4   b    2       5          2              2      HE   -24    13      1
 45106C0D   0   4   b    2       5          3              0      HE   -27    13      1
 45206C0D   0   4   b    2       5          3              1      HE   -27    13      2
 4520740D   0   4   b    2       5          3              2      HE   -29    13      2
 45306C0D   0   4   b    2       5          4              0      HE   -27    13      3
 45205C0D   0   4   b    2       5          4              1      HE   -23    13      2
 45105C0D   0   4   b    2       5          4              2      HE   -23    13      1
 45204C0E   0   4   b    2       5          5              0      HE   -19    14      2
 4510500E   0   4   b    2       5          5              1      HE   -20    14      1
 4520580D   0   4   b    2       5          5              2      HE   -22    13      2
 45104C0E   0   4   b    2       5          6              0      HE   -19    14      1
 4520500E   0   4   b    2       5          6              1      HE   -20    14      2
 4510580D   0   4   b    2       5          6              2      HE   -22    13      1
 45204C0D   0   4   b    2       5          7              0      HE   -19    13      2
 4510500D   0   4   b    2       5          7              1      HE   -20    13      1
 4520540D   0   4   b    2       5          7              2      HE   -21    13      2
 45104C0D   0   4   b    2       5          8              0      HE   -19    13      1
 4520500D   0   4   b    2       5          8              1      HE   -20    13      2
 4510540D   0   4   b    2       5          8              2      HE   -21    13      1
 43102C10   0   5   t    2       6          1              0      HB   -11    16      1
 43101C10   0   5   t    2       6          1              1      HB    -7    16      1
 43100C10   0   5   t    2       6          1              2      HB    -3    16      1
 43101410   0   5   t    2       6          2              0      HB    -5    16      1
 43100410   0   5   t    2       6          2              1      HB    -1    16      1
 43102410   0   5   t    2       6          2              2      HB    -9    16      1
 43102C0F   0   5   t    2       6          3              0      HB   -11    15      1
 43101C0F   0   5   t    2       6          3              1      HB    -7    15      1
 43100C0F   0   5   t    2       6          3              2      HB    -3    15      1
 4310140F   0   5   t    2       6          4              0      HB    -5    15      1
 4310040F   0   5   t    2       6          4              1      HB    -1    15      1
 4310240F   0   5   t    2       6          4              2      HB    -9    15      1
 43102810   0   5   t    2       6          5              0      HB   -10    16      1
 43101810   0   5   t    2       6          5              1      HB    -6    16      1
 43100810   0   5   t    2       6          5              2      HB    -2    16      1
 43102010   0   5   t    2       6          6              0      HB    -8    16      1
 43101010   0   5   t    2       6          6              1      HB    -4    16      1
 43103010   0   5   t    2       6          6              2      HB   -12    16      1
