#i    cr    uhtr    tb    dcc    spigot    fib/slb    fibch/slbch    subdet    eta    phi    depth
123569X    34    12    u    0    0    5    1    ngHE    24    63    4
123570X    34    12    u    0    0    2    1    ngHE    24    63    5
123571X    34    12    u    0    0    2    0    ngHE    24    63    6
123572X    34    12    u    0    0    7    5    ngHE    25    63    1
123573X    34    12    u    0    0    10    5    ngHE    25    63    2
123574X    34    12    u    0    0    9    5    ngHE    25    63    3
123575X    34    12    u    0    0    8    1    ngHE    25    63    4
123576X    34    12    u    0    0    9    3    ngHE    25    63    5
123577X    34    12    u    0    0    9    2    ngHE    25    63    6
123578X    34    12    u    0    0    4    5    ngHE    26    63    1
123579X    34    12    u    0    0    1    5    ngHE    26    63    2
123580X    34    12    u    0    0    2    5    ngHE    26    63    3
123581X    34    12    u    0    0    3    1    ngHE    26    63    4
123582X    34    12    u    0    0    2    2    ngHE    26    63    5
123583X    34    12    u    0    0    2    3    ngHE    26    63    6
123584X    34    11    u    0    0    13    4    ngHE    26    63    7
123585X    34    11    u    0    0    17    0    ngHE    27    63    1
123586X    34    11    u    0    0    17    5    ngHE    27    63    2
123587X    34    11    u    0    0    16    1    ngHE    27    63    3
123588X    34    11    u    0    0    15    4    ngHE    27    63    4
123589X    34    11    u    0    0    16    2    ngHE    27    63    5
123590X    34    11    u    0    0    16    3    ngHE    27    63    6
123591X    34    11    u    0    0    16    0    ngHE    27    63    7
123592X    34    11    u    0    0    12    1    ngHE    28    63    1
123593X    34    11    u    0    0    13    0    ngHE    28    63    2
123594X    34    11    u    0    0    13    2    ngHE    28    63    3
123595X    34    11    u    0    0    14    1    ngHE    28    63    4
123596X    34    11    u    0    0    13    1    ngHE    28    63    5
123597X    34    11    u    0    0    13    5    ngHE    28    63    6
123598X    34    11    u    0    0    13    3    ngHE    28    63    7
123599X    34    11    u    0    0    12    0    ngHE    29    63    1
123600X    34    11    u    0    0    12    5    ngHE    29    63    2
123601X    34    11    u    0    0    16    4    ngHE    29    63    3
123604X    34    11    u    0    0    17    4    ngHE    16    64    3
123605X    34    11    u    0    0    17    3    ngHE    17    64    2
123606X    34    11    u    0    0    15    3    ngHE    17    64    3
123607X    34    11    u    0    0    15    0    ngHE    18    64    1
123608X    34    11    u    0    0    17    2    ngHE    18    64    2
123609X    34    11    u    0    0    15    5    ngHE    18    64    3
123610X    34    11    u    0    0    15    1    ngHE    18    64    4
123611X    34    11    u    0    0    15    2    ngHE    18    64    5
123612X    34    12    u    0    0    7    0    ngHE    19    64    1
123613X    34    12    u    0    0    10    0    ngHE    19    64    2
123614X    34    12    u    0    0    9    4    ngHE    19    64    3
123615X    34    12    u    0    0    7    4    ngHE    19    64    4
123616X    34    12    u    0    0    6    0    ngHE    19    64    5
123617X    34    12    u    0    0    6    1    ngHE    19    64    6
123618X    34    12    u    0    0    7    1    ngHE    20    64    1
123619X    34    12    u    0    0    6    3    ngHE    20    64    2
123620X    34    12    u    0    0    10    1    ngHE    20    64    3
123621X    34    12    u    0    0    6    5    ngHE    20    64    4
123622X    34    12    u    0    0    8    2    ngHE    20    64    5
123623X    34    12    u    0    0    8    5    ngHE    20    64    6
123624X    34    11    u    0    0    18    4    ngHE    16    65    3
123625X    34    11    u    0    0    18    3    ngHE    17    65    2
123626X    34    11    u    0    0    20    2    ngHE    17    65    3
123627X    34    11    u    0    0    20    4    ngHE    18    65    1
123628X    34    11    u    0    0    18    2    ngHE    18    65    2
123629X    34    11    u    0    0    20    0    ngHE    18    65    3
123630X    34    11    u    0    0    20    5    ngHE    18    65    4
123631X    34    11    u    0    0    20    3    ngHE    18    65    5
123632X    34    12    u    0    0    16    0    ngHE    19    65    1
123633X    34    12    u    0    0    13    0    ngHE    19    65    2
123634X    34    12    u    0    0    14    4    ngHE    19    65    3
123635X    34    12    u    0    0    16    4    ngHE    19    65    4
123636X    34    12    u    0    0    15    0    ngHE    19    65    5
123637X    34    12    u    0    0    17    0    ngHE    19    65    6
123638X    34    12    u    0    0    16    1    ngHE    20    65    1
123639X    34    12    u    0    0    17    3    ngHE    20    65    2
123640X    34    12    u    0    0    13    1    ngHE    20    65    3
123641X    34    12    u    0    0    17    5    ngHE    20    65    4
123642X    34    12    u    0    0    15    3    ngHE    20    65    5
123643X    34    12    u    0    0    15    2    ngHE    20    65    6
123644X    34    12    u    0    0    16    2    ngHE    21    65    1
123645X    34    12    u    0    0    17    2    ngHE    21    65    2
123646X    34    12    u    0    0    13    2    ngHE    21    65    3
123647X    34    12    u    0    0    17    4    ngHE    21    65    4
123648X    34    12    u    0    0    15    4    ngHE    21    65    5
123649X    34    12    u    0    0    15    5    ngHE    21    65    6
123650X    34    12    u    0    0    19    2    ngHE    22    65    1
123651X    34    12    u    0    0    18    2    ngHE    22    65    2
123652X    34    12    u    0    0    22    2    ngHE    22    65    3
123653X    34    12    u    0    0    18    4    ngHE    22    65    4
123654X    34    12    u    0    0    21    0    ngHE    22    65    5
123655X    34    12    u    0    0    20    3    ngHE    22    65    6
123656X    34    12    u    0    0    16    3    ngHE    23    65    1
123657X    34    12    u    0    0    13    4    ngHE    23    65    2
123658X    34    12    u    0    0    13    3    ngHE    23    65    3
123659X    34    12    u    0    0    17    1    ngHE    23    65    4
123660X    34    12    u    0    0    14    1    ngHE    23    65    5
123661X    34    12    u    0    0    14    0    ngHE    23    65    6
123662X    34    12    u    0    0    19    3    ngHE    24    65    1
123663X    34    12    u    0    0    22    4    ngHE    24    65    2
123664X    34    12    u    0    0    22    3    ngHE    24    65    3
123665X    34    12    u    0    0    20    4    ngHE    24    65    4
123666X    34    12    u    0    0    21    1    ngHE    24    65    5
123667X    34    12    u    0    0    20    0    ngHE    24    65    6
123668X    34    12    u    0    0    16    5    ngHE    25    65    1
123669X    34    12    u    0    0    13    5    ngHE    25    65    2
123670X    34    12    u    0    0    14    5    ngHE    25    65    3
123671X    34    12    u    0    0    15    1    ngHE    25    65    4
123672X    34    12    u    0    0    14    2    ngHE    25    65    5
123673X    34    12    u    0    0    14    3    ngHE    25    65    6
123674X    34    12    u    0    0    19    5    ngHE    26    65    1
123675X    34    12    u    0    0    22    5    ngHE    26    65    2
123676X    34    12    u    0    0    21    5    ngHE    26    65    3
123677X    34    12    u    0    0    20    1    ngHE    26    65    4
123678X    34    12    u    0    0    21    3    ngHE    26    65    5
123679X    34    12    u    0    0    21    2    ngHE    26    65    6
123680X    34    11    u    0    0    22    4    ngHE    26    65    7
123681X    34    11    u    0    0    18    0    ngHE    27    65    1
123682X    34    11    u    0    0    18    5    ngHE    27    65    2
123683X    34    11    u    0    0    19    2    ngHE    27    65    3
123684X    34    11    u    0    0    20    1    ngHE    27    65    4
123685X    34    11    u    0    0    19    1    ngHE    27    65    5
123686X    34    11    u    0    0    19    5    ngHE    27    65    6
123687X    34    11    u    0    0    19    3    ngHE    27    65    7
123688X    34    11    u    0    0    23    1    ngHE    28    65    1
123689X    34    11    u    0    0    22    5    ngHE    28    65    2
123690X    34    11    u    0    0    22    1    ngHE    28    65    3
123691X    34    11    u    0    0    21    4    ngHE    28    65    4
123692X    34    11    u    0    0    22    2    ngHE    28    65    5
123693X    34    11    u    0    0    22    3    ngHE    28    65    6
123694X    34    11    u    0    0    22    0    ngHE    28    65    7
123695X    34    11    u    0    0    23    0    ngHE    29    65    1
123696X    34    11    u    0    0    23    5    ngHE    29    65    2
123697X    34    11    u    0    0    19    4    ngHE    29    65    3
123700X    34    11    u    0    0    23    4    ngHE    16    66    3
123701X    34    11    u    0    0    23    3    ngHE    17    66    2
123702X    34    11    u    0    0    21    3    ngHE    17    66    3
123703X    34    11    u    0    0    21    0    ngHE    18    66    1
123704X    34    11    u    0    0    23    2    ngHE    18    66    2
123705X    34    11    u    0    0    21    5    ngHE    18    66    3
123706X    34    11    u    0    0    21    1    ngHE    18    66    4
123707X    34    11    u    0    0    21    2    ngHE    18    66    5
123708X    34    12    u    0    0    19    0    ngHE    19    66    1
123709X    34    12    u    0    0    22    0    ngHE    19    66    2
123710X    34    12    u    0    0    21    4    ngHE    19    66    3
123711X    34    12    u    0    0    19    4    ngHE    19    66    4
123712X    34    12    u    0    0    18    0    ngHE    19    66    5
123713X    34    12    u    0    0    18    1    ngHE    19    66    6
123714X    34    12    u    0    0    19    1    ngHE    20    66    1
123715X    34    12    u    0    0    18    3    ngHE    20    66    2
123716X    34    12    u    0    0    22    1    ngHE    20    66    3
123717X    34    12    u    0    0    18    5    ngHE    20    66    4
123718X    34    12    u    0    0    20    2    ngHE    20    66    5
123719X    34    12    u    0    0    20    5    ngHE    20    66    6
